Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides B1,Peptides B2,Peptides B3,Peptides D1,Peptides D2,Peptides D3,Razor + unique peptides B1,Razor + unique peptides B2,Razor + unique peptides B3,Razor + unique peptides D1,Razor + unique peptides D2,Razor + unique peptides D3,Unique peptides B1,Unique peptides B2,Unique peptides B3,Unique peptides D1,Unique peptides D2,Unique peptides D3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type B1,Identification type B2,Identification type B3,Identification type D1,Identification type D2,Identification type D3,Sequence coverage B1 [%],Sequence coverage B2 [%],Sequence coverage B3 [%],Sequence coverage D1 [%],Sequence coverage D2 [%],Sequence coverage D3 [%],Intensity,Intensity B1,Intensity B2,Intensity B3,Intensity D1,Intensity D2,Intensity D3,LFQ intensity B1,LFQ intensity B2,LFQ intensity B3,LFQ intensity D1,LFQ intensity D2,LFQ intensity D3,MS/MS count B1,MS/MS count B2,MS/MS count B3,MS/MS count D1,MS/MS count D2,MS/MS count D3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A2AKX3,A2AKX3,1,1,1,Probable helicase senataxin,Setx,sp|A2AKX3|SETX_MOUSE Probable helicase senataxin OS=Mus musculus OX=10090 GN=Setx PE=1 SV=1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0.7,0.7,0.7,297.59,2646,2646,1,2,0.0078555,1.6481,,,,,By MS/MS,By MS/MS,0,0,0,0,0.7,0.7,298860,0,0,0,0,146170,152690,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,10,666,TRUE,692,2643;2644,2062;2063,2063,,,-1
A2AN08,A2AN08,20,20,20,E3 ubiquitin-protein ligase UBR4,Ubr4,sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1,1,20,20,20,6,15,14,2,11,4,6,15,14,2,11,4,6,15,14,2,11,4,4,4,4,572.28,5180,5180,1,53,0,38.029,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.2,3.1,2.6,0.4,2.2,0.9,24526000,604210,3452200,3705400,353970,11630000,4780800,260400,497110,618740,0,194860,94600,2,11,13,0,6,1,33,,,,11,604;1157;1832;1877;2269;3565;3850;4326;6047;6134;6435;7325;7884;8131;8379;8657;9075;9918;10011;11029,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,629;1200;1901;1948;2354;3693;3993;4486;6280;6368;6683;7667;8245;8501;8753;9045;9482;10366;10466;11527,2409;2410;4598;4599;4600;4601;7377;7378;7560;9026;14416;14417;14418;15711;15712;15713;17809;25479;25480;25481;25845;27101;27102;27103;31299;33647;34620;34621;34622;35640;35641;36818;36819;36820;36821;38497;38498;42302;42303;42304;42305;42306;42659;42660;42661;42662;42663;47220;47221;47222;47223;47224;47225,1880;1881;3575;5766;5910;7040;11381;11382;11383;12423;12424;14132;20112;20389;21374;21375;24794;26539;27207;27208;27928;27929;28750;30048;30049;33518;33519;33520;33521;33815;33816;33817;33818;37379,1881;3575;5766;5910;7040;11383;12423;14132;20112;20389;21374;24794;26539;27207;27929;28750;30049;33521;33816;37379,,,-1
A2APB8,A2APB8,7,7,7,Targeting protein for Xklp2,Tpx2,sp|A2APB8|TPX2_MOUSE Targeting protein for Xklp2 OS=Mus musculus OX=10090 GN=Tpx2 PE=1 SV=1,1,7,7,7,0,0,0,6,6,5,0,0,0,6,6,5,0,0,0,6,6,5,12.5,12.5,12.5,85.893,745,745,1,17,0,101.42,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,9.5,12.3,9.4,25394000,0,0,0,5985500,11691000,7717300,0,0,0,243250,246020,187440,0,0,0,5,6,3,14,,,,12,823;4060;5034;5072;5277;7514;9251,True;True;True;True;True;True;True,854;4214;5229;5269;5481;7868;9665,3236;3237;3238;16633;16634;16635;21122;21284;21285;21286;22146;32095;32096;32097;39159;39160;39161,2534;2535;2536;13196;13197;13198;16724;16835;16836;17486;25390;25391;30576;30577,2536;13198;16724;16836;17486;25390;30577,,,-1
A2AQ25,A2AQ25,2,2,2,Sickle tail protein,Skt,sp|A2AQ25|SKT_MOUSE Sickle tail protein OS=Mus musculus OX=10090 GN=Skt PE=1 SV=1,1,2,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2.6,2.6,2.6,213.03,1946,1946,1,2,0,10.156,,,,By MS/MS,,,0,0,0,2.6,0,0,2523500,0,0,0,2523500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,13,8482;9299,True;True,8860;9715,36062;39343,28213;30741,28213;30741,,,-1
A2AR02,A2AR02,2,2,2,Peptidyl-prolyl cis-trans isomerase G,Ppig,sp|A2AR02|PPIG_MOUSE Peptidyl-prolyl cis-trans isomerase G OS=Mus musculus OX=10090 GN=Ppig PE=1 SV=1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,4,4,4,88.324,752,752,1,7,0,6.1008,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.6,1.6,4,1.6,1.6,1.6,8084900,968180,880880,1281200,1516200,2070700,1367700,0,0,0,0,0,0,0,1,2,0,0,1,4,,,,14,2971;9485,True;True,3076;9913,11925;40394;40395;40396;40397;40398;40399,9351;31875;31876;31877,9351;31875,,,-1
A2AVR2,A2AVR2,1,1,1,Maestro heat-like repeat-containing protein family member 7,Mroh7,sp|A2AVR2|MROH7_MOUSE Maestro heat-like repeat-containing protein family member 7 OS=Mus musculus OX=10090 GN=Mroh7 PE=3 SV=1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.9,1.9,1.9,141.71,1279,1279,1,1,1,-2,,,,,By MS/MS,,0,0,0,0,1.9,0,3015000,0,0,0,0,3015000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,+,,,15,1494,TRUE,1547,5956,4642,4642,5;6;7,416;417;418,-1
A2AWA9,A2AWA9,1,1,1,Rab GTPase-activating protein 1,Rabgap1,sp|A2AWA9|RBGP1_MOUSE Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1.4,1.4,1.4,120.8,1064,1064,1,5,0,19.995,,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0,1.4,1.4,1.4,1.4,1.4,4039400,0,123980,146600,1243800,1277500,1247500,0,0,0,0,0,0,0,1,1,1,1,1,5,,,,16,3434,TRUE,3555,13835;13836;13837;13838;13839,10887;10888;10889;10890;10891,10890,,,-1
A2BH40,A2BH40,3,3,3,AT-rich interactive domain-containing protein 1A,Arid1a,sp|A2BH40|ARI1A_MOUSE AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1,1,3,3,3,1,2,3,1,2,2,1,2,3,1,2,2,1,2,3,1,2,2,1.8,1.8,1.8,242.09,2283,2283,1,11,0,3.2992,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.7,1.1,1.8,0.7,1.1,1.1,4757100,17005,421140,846710,651500,1190000,1630800,0,393590,565510,0,0,154780,0,1,3,0,2,1,7,,,,17,4120;5922;7947,True;True;True,4275;6149;8312,16900;16901;16902;16903;16904;24910;24911;24912;24913;33894;33895,13416;13417;13418;19672;19673;19674;26707,13418;19672;26707,,,-1
A6PWY4,A6PWY4,1,1,1,WD repeat-containing protein 76,Wdr76,sp|A6PWY4|WDR76_MOUSE WD repeat-containing protein 76 OS=Mus musculus OX=10090 GN=Wdr76 PE=1 SV=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.8,1.8,1.8,69.007,622,622,1,6,0.0032963,1.905,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By matching,1.8,1.8,1.8,1.8,1.8,1.8,13211000,3288300,2971200,2852200,1739200,1340400,1019600,0,0,0,0,0,0,1,1,1,0,0,0,3,,,,18,4571,TRUE,4747,19026;19027;19028;19029;19030;19031,15140;15141;15142,15141,,,-1
A7TZG1,A7TZG1,1,1,1,Selection and upkeep of intraepithelial T-cells protein 10,Skint10,sp|A7TZG1|SKI10_MOUSE Selection and upkeep of intraepithelial T-cells protein 10 OS=Mus musculus OX=10090 GN=Skint10 PE=2 SV=2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,2,2,2,40.86,354,354,1,4,0.0086038,1.6322,,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,0,2,2,0,2,2,1593500,0,237250,149030,0,772690,434520,0,0,0,0,0,0,0,1,1,0,1,1,4,,,,19,236,TRUE,244,938;939;940;941,730;731;732;733,733,,,-1
B1AXD8;Q99LF1,B1AXD8,5;1,5;1,5;1,Akirin-2,Akirin2,sp|B1AXD8|AKIR2_MOUSE Akirin-2 OS=Mus musculus OX=10090 GN=Akirin2 PE=1 SV=1,2,5,5,5,0,0,0,5,5,4,0,0,0,5,5,4,0,0,0,5,5,4,26.4,26.4,26.4,22.113,201,201;191,1,14,0,28.585,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,26.4,26.4,19.4,46024000,0,0,0,16128000,15599000,14296000,0,0,0,564700,538520,486900,0,0,0,4,4,3,11,,,,20,2043;2748;6748;9746;10820,True;True;True;True;True,2118;2845;7009;10187;11314,8184;8185;8186;10968;10969;10970;28456;28457;28458;41630;41631;46359;46360;46361,6377;6378;8598;8599;8600;22378;22379;22380;32973;36741;36742,6377;8600;22379;32973;36742,,,-1;-1
B1AZP2,B1AZP2,1,1,1,Disks large-associated protein 4,Dlgap4,sp|B1AZP2|DLGP4_MOUSE Disks large-associated protein 4 OS=Mus musculus OX=10090 GN=Dlgap4 PE=1 SV=1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1.1,1.1,1.1,108.04,992,992,1,3,0,4.2037,,,,By MS/MS,By matching,By MS/MS,0,0,0,1.1,1.1,1.1,3212500,0,0,0,1045200,1306800,860490,0,0,0,0,0,0,0,0,0,1,0,1,2,,,,21,1985,TRUE,2060,7973;7974;7975,6217;6218,6218,,,-1
B2RQC6,B2RQC6,20,20,20,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,sp|B2RQC6|PYR1_MOUSE CAD protein OS=Mus musculus OX=10090 GN=Cad PE=1 SV=1,1,20,20,20,11,17,17,14,19,19,11,17,17,14,19,19,11,17,17,14,19,19,12.6,12.6,12.6,243.24,2225,2225,1,97,0,125.96,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,6.4,10.4,11,8,11.9,12,171950000,3083300,15419000,13327000,22824000,59339000,57960000,766380,1470100,1384800,351930,650780,539040,5,13,12,9,18,16,73,,,,22,453;1265;1408;3071;3275;3374;4699;5410;5467;5826;6066;6364;6650;6847;8468;9380;10575;10576;10672;10752,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,470;1310;1455;3178;3391;3494;4881;5616;5673;6047;6299;6611;6906;7110;8846;9798;11054;11055;11159;11245,1822;1823;1824;1825;5008;5009;5010;5011;5012;5551;5552;5553;5554;5555;5556;12372;12373;12374;12375;12376;12377;13217;13218;13219;13220;13599;13600;13601;13602;13603;13604;19607;19608;19609;19610;19611;19612;22761;22762;22763;22970;22971;22972;22973;22974;24470;24471;24472;24473;24474;24475;25549;25550;25551;26819;26820;26821;26822;26823;28043;28044;28045;28824;28825;28826;28827;28828;28829;36013;36014;36015;39945;39946;39947;39948;45337;45338;45339;45340;45341;45342;45343;45344;45345;45346;45347;45749;45750;45751;45752;45753;46118;46119;46120;46121;46122;46123,1439;1440;3885;3886;3887;4335;4336;4337;4338;4339;9727;9728;9729;9730;10399;10400;10700;10701;15585;15586;15587;15588;15589;15590;17951;17952;18103;18104;18105;18106;18107;19310;19311;19312;19313;19314;20157;20158;20159;20160;21158;21159;21160;21161;22079;22080;22655;22656;22657;22658;28180;28181;31492;31493;31494;35986;35987;35988;35989;35990;35991;35992;35993;36290;36291;36292;36293;36294;36560;36561;36562;36563;36564,1439;3886;4337;9730;10399;10700;15590;17952;18105;19314;20160;21160;22080;22657;28181;31492;35987;35990;36292;36560,,,-1
B2RRE7,B2RRE7,2,2,2,OTU domain-containing protein 4,Otud4,sp|B2RRE7|OTUD4_MOUSE OTU domain-containing protein 4 OS=Mus musculus OX=10090 GN=Otud4 PE=1 SV=1,1,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,2.2,2.2,2.2,123.05,1107,1107,1,6,0,8.6351,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,2.2,2.2,2.2,6750500,0,0,0,251770,2647000,3851800,0,0,0,0,185090,228160,0,0,0,2,2,2,6,,,,23,2385;4757,True;True,2474;4941,9479;9480;9481;19865;19866;19867,7419;7420;7421;15776;15777;15778,7420;15776,,,-1
B2RW38,B2RW38,1,1,1,Cilia- and flagella-associated protein 58,Cfap58,sp|B2RW38|CFA58_MOUSE Cilia- and flagella-associated protein 58 OS=Mus musculus OX=10090 GN=Cfap58 PE=2 SV=1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.5,1.5,1.5,103.52,873,873,1,1,0.0071287,1.6848,,,,By MS/MS,,,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,24,10664,TRUE,11148,45710,36261,36261,8,10,-1
B2RY56,B2RY56,4,4,4,RNA-binding protein 25,Rbm25,sp|B2RY56|RBM25_MOUSE RNA-binding protein 25 OS=Mus musculus OX=10090 GN=Rbm25 PE=1 SV=2,1,4,4,4,1,1,1,2,4,2,1,1,1,2,4,2,1,1,1,2,4,2,8.5,8.5,8.5,99.551,838,838,1,11,0,5.1111,By matching,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,1.2,1.2,1.2,3.3,8.5,3.3,12256000,126920,339980,217100,2108600,4966200,4496800,0,0,0,205530,237190,354190,0,0,0,1,4,2,7,,,,25,2259;6033;6114;10659,True;True;True;True,2344;6265;6348;11141,8989;8990;8991;25426;25744;25745;25746;25747;25748;25749;45686,7013;7014;7015;20072;20319;20320;36241,7015;20072;20320;36241,9;10,794;808,-1
B7ZNG0,B7ZNG0,2,2,2,Kinesin-like protein KIF7,Kif7,sp|B7ZNG0|KIF7_MOUSE Kinesin-like protein KIF7 OS=Mus musculus OX=10090 GN=Kif7 PE=1 SV=1,1,2,2,2,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,1.6,1.6,1.6,151.62,1348,1348,1,4,0,37.286,,,,By MS/MS,By matching,By matching,0,0,0,1.6,0.5,0.5,1819700,0,0,0,1345900,219160,254620,0,0,0,0,0,0,0,0,0,2,0,0,2,,,,26,1655;7912,True;True,1716;8273,6620;33752;33753;33754,5163;26608,5163;26608,,,-1
B7ZNG4,B7ZNG4,5,5,5,Tastin,Troap,sp|B7ZNG4|TROAP_MOUSE Tastin OS=Mus musculus OX=10090 GN=Troap PE=2 SV=1,1,5,5,5,1,0,0,5,3,4,1,0,0,5,3,4,1,0,0,5,3,4,13.6,13.6,13.6,71.958,668,668,1,14,0,12.938,By MS/MS,,,By MS/MS,By MS/MS,By MS/MS,1,0,0,13.6,6.3,12.6,33404000,37772,0,0,10907000,7584400,14875000,0,0,0,580700,502740,476930,0,0,0,4,3,4,11,,,,27,4485;5597;7996;9921;10798,True;True;True;True;True,4657;5811;8364;10369;11292,18650;18651;18652;23527;23528;34080;34081;34082;42318;42319;42320;46280;46281;46282,14842;18542;26827;26828;26829;33531;33532;33533;36685;36686;36687,14842;18542;26828;33532;36686,,,-1
B8ZXI1,B8ZXI1,3,3,3,Queuine tRNA-ribosyltransferase subunit QTRTD1,Qtrtd1,sp|B8ZXI1|QTRT2_MOUSE Queuine tRNA-ribosyltransferase accessory subunit 2 OS=Mus musculus OX=10090 GN=Qtrt2 PE=1 SV=2,1,3,3,3,0,3,1,2,3,3,0,3,1,2,3,3,0,3,1,2,3,3,10.6,10.6,10.6,46.288,415,415,1,13,0,6.1094,,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,0,10.6,2.4,5.5,10.6,10.6,8358900,0,1064200,149300,1048000,1451900,4645600,0,350270,0,201950,84467,198420,0,0,0,1,2,2,5,,,,28,8467;9627;11417,True;True;True,8845;10064;11933,36009;36010;36011;36012;40934;40935;40936;40937;48999;49000;49001;49002;49003,28179;32345;32346;32347;38818,28179;32345;38818,,,-1
B9EJR8,B9EJR8,3,3,3,"Dynein assembly factor 5, axonemal",Dnaaf5,"sp|B9EJR8|DAAF5_MOUSE Dynein assembly factor 5, axonemal OS=Mus musculus OX=10090 GN=Dnaaf5 PE=1 SV=1",1,3,3,3,1,2,2,1,3,1,1,2,2,1,3,1,1,2,2,1,3,1,3.9,3.9,3.9,93.85,853,853,1,10,0,3.9094,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By matching,1.3,2.3,2.3,1.3,3.9,1.3,3682200,52471,274470,176660,368840,1957000,852790,0,171980,0,0,131780,0,0,2,2,0,2,0,6,,,,29,37;381;5661,True;True;True,38;395;5877,145;146;147;148;149;150;1561;23772;23773;23774,109;110;111;1223;18739;18740,111;1223;18739,,,-1
