Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides B1,Peptides B2,Peptides B3,Peptides D1,Peptides D2,Peptides D3,Razor + unique peptides B1,Razor + unique peptides B2,Razor + unique peptides B3,Razor + unique peptides D1,Razor + unique peptides D2,Razor + unique peptides D3,Unique peptides B1,Unique peptides B2,Unique peptides B3,Unique peptides D1,Unique peptides D2,Unique peptides D3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type B1,Identification type B2,Identification type B3,Identification type D1,Identification type D2,Identification type D3,Sequence coverage B1 [%],Sequence coverage B2 [%],Sequence coverage B3 [%],Sequence coverage D1 [%],Sequence coverage D2 [%],Sequence coverage D3 [%],Intensity,Intensity B1,Intensity B2,Intensity B3,Intensity D1,Intensity D2,Intensity D3,LFQ intensity B1,LFQ intensity B2,LFQ intensity B3,LFQ intensity D1,LFQ intensity D2,LFQ intensity D3,MS/MS count B1,MS/MS count B2,MS/MS count B3,MS/MS count D1,MS/MS count D2,MS/MS count D3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
P62242,P62242,5,5,5,40S ribosomal protein S8,Rps8,sp|P62242|RS8_MOUSE 40S ribosomal protein S8 OS=Mus musculus OX=10090 GN=Rps8 PE=1 SV=2,1,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,28.4,28.4,28.4,24.205,208,208,1,27,0,125.3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,21.2,21.2,21.2,28.4,28.4,28.4,415760000,22779000,27101000,16390000,114040000,85041000,150410000,10438000,11901000,11948000,12527000,11140000,12377000,4,4,3,5,6,5,27,,,,608,1730;4043;4445;6485;7787,True;True;True;True;True,1814;4217;4645;6779;8190,8435;8436;8437;8438;8439;8440;20229;20230;20231;22589;22590;22591;22592;22593;22594;33422;33423;33424;33425;33426;33427;40540;40541;40542;40543;40544;40545,6391;6392;6393;6394;6395;6396;15429;15430;15431;17228;17229;17230;17231;17232;17233;17234;25170;25171;25172;25173;25174;25175;30593;30594;30595;30596;30597,6392;15430;17231;25174;30595,,,10090
P62245,P62245,8,8,8,40S ribosomal protein S15a,Rps15a,sp|P62245|RS15A_MOUSE 40S ribosomal protein S15a OS=Mus musculus OX=10090 GN=Rps15a PE=1 SV=2,1,8,8,8,6,8,7,8,8,8,6,8,7,8,8,8,6,8,7,8,8,8,54.6,54.6,54.6,14.839,130,130,1,54,0,55.264,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,38.5,54.6,54.6,54.6,54.6,54.6,381110000,27540000,58525000,27150000,77407000,75904000,114580000,7801700,14591000,12484000,6562500,7574700,7242300,6,10,7,9,6,8,46,,,,609,2204;2205;3447;4521;6794;7443;7444;10619,True;True;True;True;True;True;True;True,2303;2304;3595;4724;7135;7136;7838;7839;11157,10703;10704;10705;10706;10707;10708;10709;10710;10711;10712;10713;10714;16943;16944;16945;16946;16947;16948;16949;16950;16951;22990;22991;22992;22993;22994;22995;35027;35028;35029;35030;35031;35032;35033;35034;35035;35036;35037;35038;38803;38804;38805;38806;38807;38808;38809;38810;38811;55287;55288;55289;55290;55291;55292,8042;8043;8044;8045;8046;8047;8048;8049;8050;8051;8052;12839;12840;12841;12842;12843;12844;12845;12846;12847;17538;17539;17540;17541;17542;17543;26255;26256;26257;26258;26259;26260;26261;26262;26263;29449;29450;29451;29452;29453;42030;42031;42032;42033;42034;42035,8045;8051;12842;17539;26257;29452;29453;42033,331,4,10090
P62257,P62257,1,1,1,Ubiquitin-conjugating enzyme E2 H,Ube2h,sp|P62257|UBE2H_MOUSE Ubiquitin-conjugating enzyme E2 H OS=Mus musculus OX=10090 GN=Ube2h PE=1 SV=1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,8.2,8.2,8.2,20.655,183,183,1,5,0,3.8009,,By matching,By MS/MS,By matching,By MS/MS,By MS/MS,0,8.2,8.2,8.2,8.2,8.2,7120600,0,660680,642040,2004800,1460000,2353000,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,610,3368,TRUE,3513,16554;16555;16556;16557;16558,12518;12519;12520,12520,,,10090
P62259,P62259,11,11,11,14-3-3 protein epsilon,Ywhae,sp|P62259|1433E_MOUSE 14-3-3 protein epsilon OS=Mus musculus OX=10090 GN=Ywhae PE=1 SV=1,1,11,11,11,8,8,9,10,9,6,8,8,9,10,9,6,8,8,9,10,9,6,48.2,48.2,48.2,29.174,255,255,1,65,0,62.007,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,43.9,43.9,43.9,48.2,43.9,36.9,241420000,29094000,19961000,13033000,57680000,58706000,62946000,5383300,3362200,3133800,3542700,3270700,3213800,13,8,8,11,6,7,53,,,,611,17;1334;3531;4079;4621;5148;5256;6667;9771;10833;10834,True;True;True;True;True;True;True;True;True;True;True,17;18;1397;3683;4254;4833;5385;5495;6975;6976;10269;10270;11378;11379,68;69;70;71;72;73;74;75;76;77;78;79;80;6421;6422;6423;6424;6425;6426;17438;17439;17440;17441;17442;17443;20434;20435;20436;20437;20438;23548;23549;23550;23551;23552;26434;26435;27054;27055;27056;27057;27058;27059;34328;34329;34330;34331;34332;34333;34334;34335;34336;34337;34338;50783;50784;50785;50786;50787;50788;50789;50790;50791;56504;56505,53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;4884;4885;4886;4887;4888;4889;13220;13221;13222;15588;15589;15590;15591;15592;17952;17953;17954;17955;20069;20530;20531;25763;25764;25765;25766;25767;25768;25769;25770;25771;25772;25773;38571;38572;38573;38574;42981;42982,59;4885;13221;15591;17953;20069;20530;25772;38572;42981;42982,332;333;334,1;33;221,10090
P62264,P62264,8,8,8,40S ribosomal protein S14,Rps14,sp|P62264|RS14_MOUSE 40S ribosomal protein S14 OS=Mus musculus OX=10090 GN=Rps14 PE=1 SV=3,1,8,8,8,8,6,8,8,8,8,8,6,8,8,8,8,8,6,8,8,8,8,35.1,35.1,35.1,16.273,151,151,1,64,0,44.959,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,35.1,19.9,35.1,35.1,35.1,35.1,400350000,20677000,22593000,16880000,86557000,107620000,146020000,3491400,3920100,4064700,5018400,5575300,5307100,8,7,6,10,11,10,52,,,,612,97;3868;3869;3999;4000;9369;9521;10091,True;True;True;True;True;True;True;True,102;4039;4040;4172;4173;9850;10008;10603;10604,479;480;481;482;483;19305;19306;19307;19308;19309;19310;19311;19312;19313;19314;19315;19316;19989;19990;19991;19992;19993;19994;19995;19996;19997;19998;19999;20000;20001;20002;20003;20004;20005;20006;20007;20008;20009;20010;20011;20012;48829;48830;48831;48832;48833;48834;48835;49599;49600;49601;49602;49603;49604;52525;52526;52527;52528;52529;52530;52531;52532;52533;52534,378;14674;14675;14676;14677;14678;14679;14680;14681;14682;14683;14684;14685;15238;15239;15240;15241;15242;15243;15244;15245;15246;15247;15248;15249;15250;15251;15252;15253;15254;15255;15256;15257;15258;37116;37117;37118;37119;37120;37121;37710;37711;37712;37713;37714;37715;39961;39962;39963;39964;39965;39966;39967,378;14678;14683;15246;15258;37116;37714;39963,335,75,10090
P62267,P62267,2,2,2,40S ribosomal protein S23,Rps23,sp|P62267|RS23_MOUSE 40S ribosomal protein S23 OS=Mus musculus OX=10090 GN=Rps23 PE=1 SV=3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,8.4,8.4,8.4,15.807,143,143,1,15,0,4.8208,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,8.4,8.4,8.4,8.4,8.4,8.4,94361000,5689300,7735900,5966200,28655000,17640000,28673000,5538500,5800100,9630200,0,0,5208400,1,1,2,2,1,1,8,,,,613,2865;4724,True;True,2987;4940,14015;14016;14017;14018;14019;24085;24086;24087;24088;24089;24090;24091;24092;24093;24094,10532;10533;18344;18345;18346;18347;18348;18349,10532;18349,,,10090
P62270,P62270,10,10,10,40S ribosomal protein S18,Rps18,sp|P62270|RS18_MOUSE 40S ribosomal protein S18 OS=Mus musculus OX=10090 GN=Rps18 PE=1 SV=3,1,10,10,10,8,9,8,9,9,8,8,9,8,9,9,8,8,9,8,9,9,8,42.1,42.1,42.1,17.718,152,152,1,55,0,66.686,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,35.5,42.1,36.2,42.1,42.1,42.1,160340000,19618000,22868000,12695000,32716000,29665000,42777000,4772100,5288500,5881000,2290600,2266100,2528100,8,9,8,8,9,8,50,,,,614,202;4294;4567;4784;7815;8264;10083;10215;10674;10675,True;True;True;True;True;True;True;True;True;True,213;4488;4774;5002;8219;8689;10594;10595;10737;11212;11213,995;996;997;998;21765;21766;21767;21768;21769;21770;23249;23250;23251;23252;23253;23254;24464;24465;24466;24467;24468;40674;40675;40676;40677;40678;40679;43027;43028;43029;43030;43031;43032;52491;52492;52493;52494;52495;52496;52497;52498;52499;52500;53235;53236;53237;53238;53239;55545;55546;55547;55548;55549;55550;55551,783;784;785;786;16584;16585;16586;16587;16588;16589;17733;17734;17735;17736;17737;17738;18644;18645;18646;18647;18648;30672;30673;30674;30675;30676;30677;32290;32291;32292;32293;32294;32295;39935;39936;39937;39938;39939;39940;39941;39942;39943;39944;40494;40495;40496;40497;40498;42223;42224,785;16585;17734;18648;30677;32290;39935;40498;42223;42224,336,71,10090
P62274,P62274,1,1,1,40S ribosomal protein S29,Rps29,sp|P62274|RS29_MOUSE 40S ribosomal protein S29 OS=Mus musculus OX=10090 GN=Rps29 PE=1 SV=2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.6,19.6,19.6,6.6767,56,56,1,12,0,9.1598,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,19.6,19.6,19.6,19.6,19.6,19.6,24394000,2228200,1935500,1183600,8498400,6065500,4482400,1153000,930900,0,1261400,1009200,0,2,2,2,2,2,1,11,,,,615,2882,TRUE,3004,14104;14105;14106;14107;14108;14109;14110;14111;14112;14113;14114;14115,10595;10596;10597;10598;10599;10600;10601;10602;10603;10604;10605,10603,,,10090
P62281,P62281,6,6,6,40S ribosomal protein S11,Rps11,sp|P62281|RS11_MOUSE 40S ribosomal protein S11 OS=Mus musculus OX=10090 GN=Rps11 PE=1 SV=3,1,6,6,6,6,6,6,5,6,5,6,6,6,5,6,5,6,6,6,5,6,5,21.5,21.5,21.5,18.431,158,158,1,34,0,9.317,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,21.5,21.5,21.5,21.5,21.5,20.9,118110000,11058000,12208000,11423000,17331000,29338000,36749000,3266200,3392100,3926600,2714800,2992900,2650300,3,4,4,2,4,2,19,,,,616,874;1322;7661;8246;10199;10200,True;True;True;True;True;True,918;1385;8061;8671;10720;10721,4279;4280;4281;4282;4283;4284;6367;6368;6369;6370;6371;6372;39915;39916;39917;39918;39919;39920;42953;42954;42955;42956;42957;53146;53147;53148;53149;53150;53151;53152;53153;53154;53155;53156,3283;4838;4839;4840;4841;4842;4843;30183;30184;30185;32236;32237;32238;40429;40430;40431;40432;40433;40434,3283;4839;30183;32237;40429;40434,,,10090
P62301,P62301,5,5,5,40S ribosomal protein S13,Rps13,sp|P62301|RS13_MOUSE 40S ribosomal protein S13 OS=Mus musculus OX=10090 GN=Rps13 PE=1 SV=2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,28.5,28.5,28.5,17.222,151,151,1,36,0,74.437,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,28.5,28.5,28.5,28.5,28.5,28.5,113200000,14984000,20916000,9352700,21401000,19037000,27510000,5033000,6604700,4623700,2187200,2106400,2108800,6,6,3,4,4,4,27,,,,617,3025;4735;6494;8594;8595,True;True;True;True;True,3150;4951;6789;9029;9030,14803;14804;14805;14806;14807;14808;14809;14810;14811;24141;24142;24143;24144;24145;24146;24147;24148;24149;33468;33469;33470;33471;33472;33473;44580;44581;44582;44583;44584;44585;44586;44587;44588;44589;44590;44591,11139;11140;11141;11142;11143;18393;18394;18395;18396;18397;18398;18399;18400;25201;25202;25203;25204;25205;25206;33478;33479;33480;33481;33482;33483;33484;33485,11141;18397;25201;33483;33485,,,10090
P62305,P62305,2,2,2,Small nuclear ribonucleoprotein E,Snrpe,sp|P62305|RUXE_MOUSE Small nuclear ribonucleoprotein E OS=Mus musculus OX=10090 GN=Snrpe PE=1 SV=1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,25,25,25,10.803,92,92,1,15,0,6.6474,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,25,25,25,25,12,12,46109000,4241500,5580400,4069100,12749000,9394200,10075000,2463300,3081600,3547100,1566300,1747900,0,2,3,3,2,2,1,13,,,,618,4379;10263,True;True,4575;10791;10792,22219;22220;22221;22222;53492;53493;53494;53495;53496;53497;53498;53499;53500;53501;53502,16929;16930;16931;40694;40695;40696;40697;40698;40699;40700;40701;40702;40703,16929;40702,337,14,10090
P62307,P62307,1,1,1,Small nuclear ribonucleoprotein F,Snrpf,sp|P62307|RUXF_MOUSE Small nuclear ribonucleoprotein F OS=Mus musculus OX=10090 GN=Snrpf PE=1 SV=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15.1,15.1,15.1,9.7251,86,86,1,9,0,18.241,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,15.1,15.1,15.1,15.1,15.1,15.1,12967000,395560,461000,255700,4402200,4077000,3376100,0,0,0,622560,574670,0,1,1,1,2,2,2,9,,,,619,3236,TRUE,3373;3374,15894;15895;15896;15897;15898;15899;15900;15901;15902,11978;11979;11980;11981;11982;11983;11984;11985;11986,11985,338,84,10090
P62309,P62309,2,2,2,Small nuclear ribonucleoprotein G,Snrpg,sp|P62309|RUXG_MOUSE Small nuclear ribonucleoprotein G OS=Mus musculus OX=10090 GN=Snrpg PE=1 SV=1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,26.3,26.3,26.3,8.496,76,76,1,9,0,7.232,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,9.2,9.2,9.2,26.3,26.3,26.3,42834000,1801600,1954500,1533900,10889000,12987000,13668000,0,0,0,2439800,3375700,2341000,1,1,1,2,2,2,9,,,,620,3055;3732,True;True,3183;3897,14956;14957;14958;18513;18514;18515;18516;18517;18518,11253;11254;11255;14046;14047;14048;14049;14050;14051,11255;14050,339,69,10090
P62313,P62313,2,2,2,U6 snRNA-associated Sm-like protein LSm6,Lsm6,sp|P62313|LSM6_MOUSE U6 snRNA-associated Sm-like protein LSm6 OS=Mus musculus OX=10090 GN=Lsm6 PE=1 SV=1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23.8,23.8,23.8,9.1275,80,80,1,12,0,4.7271,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,23.8,23.8,23.8,23.8,23.8,23.8,11307000,160360,957890,597180,2536900,2854300,4200500,0,416740,417670,348710,439970,429370,1,1,0,2,2,2,8,,,,621,5059;7525,True;True,5289;7923,25921;25922;25923;25924;25925;25926;39254;39255;39256;39257;39258;39259,19676;19677;19678;19679;29749;29750;29751;29752,19679;29750,,,10090
P62315,P62315,3,3,3,Small nuclear ribonucleoprotein Sm D1,Snrpd1,sp|P62315|SMD1_MOUSE Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus OX=10090 GN=Snrpd1 PE=1 SV=1,1,3,3,3,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,37.8,37.8,37.8,13.281,119,119,1,14,0,33.876,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,20.2,37.8,37.8,20.2,20.2,20.2,95770000,8433500,21606000,13637000,13156000,18226000,20711000,2697900,11472000,12188000,1505000,1944400,1685600,1,2,3,1,1,1,9,,,,622,6398;6940;7168,True;True;True,6689;7306;7550,32980;32981;32982;32983;32984;32985;36101;36102;37393;37394;37395;37396;37397;37398,24873;24874;27438;28413;28414;28415;28416;28417;28418,24874;27438;28415,,,10090
P62317,P62317,2,2,2,Small nuclear ribonucleoprotein Sm D2,Snrpd2,sp|P62317|SMD2_MOUSE Small nuclear ribonucleoprotein Sm D2 OS=Mus musculus OX=10090 GN=Snrpd2 PE=1 SV=1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,30.5,30.5,30.5,13.527,118,118,1,10,0,11.785,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,5.9,30.5,5.9,30.5,30.5,30.5,53676000,2344700,4004600,1940500,14287000,13219000,17880000,0,1536600,0,1737600,1746000,1769900,1,1,1,2,1,2,8,,,,623,8393;8674,True;True,8821;9115,43632;43633;43634;43635;44987;44988;44989;44990;44991;44992,32759;32760;33783;33784;33785;33786;33787;33788,32760;33785,340,11,10090
P62320,P62320,2,2,2,Small nuclear ribonucleoprotein Sm D3,Snrpd3,sp|P62320|SMD3_MOUSE Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus OX=10090 GN=Snrpd3 PE=1 SV=1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15.1,15.1,15.1,13.916,126,126,1,12,0.001022,2.7415,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,15.1,15.1,15.1,15.1,15.1,15.1,16927000,1123200,1070900,694960,3725800,4438500,5873200,0,655740,658310,723440,767440,787010,0,1,1,1,1,1,5,,,,624,2400;9800,True;True,2508;10300,11743;11744;11745;11746;11747;11748;50936;50937;50938;50939;50940;50941,8823;8824;8825;8826;38687,8825;38687,,,10090
P62334,P62334,7,7,7,26S protease regulatory subunit 10B,Psmc6,sp|P62334|PRS10_MOUSE 26S proteasome regulatory subunit 10B OS=Mus musculus OX=10090 GN=Psmc6 PE=1 SV=1,1,7,7,7,3,4,3,6,4,6,3,4,3,6,4,6,3,4,3,6,4,6,26,26,26,44.172,389,389,1,38,0,43.895,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,9.8,17.5,9.8,22.9,12.6,23.4,96109000,5992500,5267400,2499400,21841000,23382000,37126000,1689200,1385500,1361500,1725000,2295600,2037700,2,3,3,7,6,7,28,,,,625,75;2049;3397;5882;6372;7897;9781,True;True;True;True;True;True;True,78;79;2144;3543;6150;6663;8304;10280,347;348;349;350;351;352;353;354;355;356;357;358;9989;9990;9991;16720;16721;16722;16723;16724;16725;30349;32859;32860;32861;41092;41093;41094;41095;41096;41097;41098;41099;41100;41101;41102;41103;50842,276;277;278;279;280;281;282;283;284;7525;7526;12654;12655;12656;12657;12658;12659;22973;24785;24786;24787;30971;30972;30973;30974;30975;30976;38614,283;7525;12659;22973;24786;30976;38614,341;342,122;368,10090
P62627,P62627,2,2,2,Dynein light chain roadblock-type 1,Dynlrb1,sp|P62627|DLRB1_MOUSE Dynein light chain roadblock-type 1 OS=Mus musculus OX=10090 GN=Dynlrb1 PE=1 SV=3,1,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,21.9,21.9,21.9,10.99,96,96,1,6,0,4.9599,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,21.9,21.9,21.9,4610200,0,0,0,879370,2464100,1266700,0,0,0,0,0,0,0,0,0,1,2,1,4,,,,626,156;1607,True;True,163;1683,757;758;759;7815;7816;7817,591;592;593;5939,593;5939,,,10090
P62631,P62631,14,4,4,Elongation factor 1-alpha 2,Eef1a2,sp|P62631|EF1A2_MOUSE Elongation factor 1-alpha 2 OS=Mus musculus OX=10090 GN=Eef1a2 PE=1 SV=1,1,14,4,4,13,13,13,14,14,13,3,4,3,4,4,4,3,4,3,4,4,4,36.5,17.7,17.7,50.454,463,463,1,25,0,15.243,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,31.1,36.5,31.1,36.5,36.5,36.5,48136000,1311200,3905400,974020,9893500,15719000,16333000,809860,758360,868910,1055800,1279300,1003500,1,3,2,3,4,6,19,,,,627,1532;1562;2222;3965;6176;7316;7587;7746;8266;9000;9287;9318;9880;11043,True;False;False;False;False;False;False;False;True;False;False;False;True;True,1605;1635;2323;4137;6460;7706;7985;8149;8691;9458;9766;9798;9799;10382;10383;11595,7406;7407;7408;7409;7560;7561;7562;7563;7564;7565;7566;7567;7568;7569;7570;7571;10804;10805;10806;10807;10808;19781;19782;19783;19784;19785;19786;19787;31855;31856;31857;31858;31859;31860;38157;38158;38159;38160;38161;39570;39571;39572;39573;39574;39575;40325;40326;40327;40328;40329;40330;43037;43038;43039;43040;43041;43042;46837;46838;46839;46840;46841;46842;48239;48240;48241;48242;48243;48244;48245;48246;48247;48248;48249;48250;48251;48252;48253;48254;48255;48256;48257;48258;48259;48260;48261;48262;48263;48264;48265;48266;48267;48268;48269;48270;48271;48272;48273;48274;48275;48276;48277;48278;48279;48280;48281;48282;48283;48284;48285;48286;48287;48288;48289;48290;48291;48292;48293;48294;48295;48296;48297;48298;48299;48300;48301;48302;48303;48304;48305;48306;48307;48308;48309;48310;48311;48312;48313;48314;48315;48316;48317;48318;48319;48320;48321;48322;48323;48324;48325;48326;48327;48328;48329;48330;48331;48332;48333;48334;48335;48336;48337;48338;48339;48340;48341;48342;48343;48344;48345;48346;48347;48348;48349;48350;48351;48352;48353;48354;48355;48356;48357;48358;48359;48360;48361;48362;48363;48364;48365;48366;48367;48368;48369;48370;48371;48372;48373;48374;48375;48376;48377;48378;48379;48380;48381;48382;48383;48384;48385;48386;48387;48388;48551;48552;48553;48554;48555;48556;48557;48558;48559;48560;48561;48562;48563;48564;48565;48566;48567;48568;48569;51390;51391;51392;51393;51394;51395;51396;51397;51398;57697;57698;57699;57700;57701;57702,5637;5638;5761;5762;5763;5764;5765;5766;5767;5768;5769;5770;5771;5772;5773;8121;8122;8123;8124;15060;15061;15062;15063;15064;15065;15066;15067;15068;15069;15070;15071;15072;15073;15074;15075;24065;24066;24067;24068;24069;24070;28972;28973;28974;28975;28976;29960;29961;29962;29963;29964;29965;30435;30436;30437;30438;30439;30440;32297;32298;32299;32300;32301;35493;35494;35495;35496;35497;35498;36583;36584;36585;36586;36587;36588;36589;36590;36591;36592;36593;36594;36595;36596;36597;36598;36599;36600;36601;36602;36603;36604;36605;36606;36607;36608;36609;36610;36611;36612;36613;36614;36615;36616;36617;36618;36619;36620;36621;36622;36623;36624;36625;36626;36627;36628;36629;36630;36631;36632;36633;36634;36635;36636;36637;36638;36639;36640;36641;36642;36643;36644;36645;36646;36647;36648;36649;36650;36651;36652;36653;36654;36655;36656;36657;36658;36659;36660;36661;36662;36663;36664;36665;36666;36667;36668;36669;36670;36671;36672;36673;36674;36675;36676;36677;36678;36679;36680;36681;36682;36683;36684;36685;36686;36687;36688;36689;36690;36691;36692;36693;36694;36695;36696;36697;36698;36699;36700;36701;36702;36703;36704;36705;36706;36707;36708;36709;36710;36711;36712;36713;36714;36715;36716;36717;36718;36719;36720;36721;36722;36723;36724;36725;36726;36727;36728;36729;36730;36731;36732;36733;36734;36735;36736;36737;36738;36739;36740;36741;36742;36743;36744;36745;36746;36747;36748;36749;36750;36751;36752;36753;36754;36755;36756;36757;36758;36759;36760;36761;36762;36763;36764;36765;36766;36767;36768;36769;36770;36906;36907;36908;36909;36910;36911;36912;36913;36914;36915;36916;36917;36918;36919;36920;36921;36922;39070;39071;39072;39073;39074;39075;43943;43944;43945;43946;43947;43948,5638;5768;8123;15065;24070;28975;29961;30438;32299;35494;36723;36911;39072;43947,111;343,49;276,10090
P62702,P62702,16,16,16,"40S ribosomal protein S4, X isoform",Rps4x,"sp|P62702|RS4X_MOUSE 40S ribosomal protein S4, X isoform OS=Mus musculus OX=10090 GN=Rps4x PE=1 SV=2",1,16,16,16,12,14,14,15,16,16,12,14,14,15,16,16,12,14,14,15,16,16,40.3,40.3,40.3,29.597,263,263,1,114,0,102.41,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,38,37.3,40.3,37.3,40.3,40.3,978490000,57546000,149030000,78992000,220930000,182450000,289540000,9852700,22519000,19373000,9449000,8774800,9499600,8,14,14,15,10,16,77,,,,628,1941;2322;2914;3052;3595;4005;5832;5833;6418;6468;9335;10267;10268;10678;10679;10914,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2031;2425;3036;3180;3754;4178;6100;6101;6709;6762;9816;10796;10797;11216;11217;11462,9435;9436;9437;9438;9439;9440;9441;9442;9443;9444;9445;11334;11335;11336;11337;11338;11339;14275;14276;14277;14278;14279;14280;14281;14282;14283;14284;14285;14286;14287;14288;14289;14290;14291;14292;14941;14942;14943;14944;14945;14946;17763;17764;17765;17766;17767;17768;20034;20035;20036;20037;20038;20039;30120;30121;30122;30123;30124;30125;30126;30127;30128;30129;33068;33069;33070;33071;33072;33073;33074;33075;33076;33077;33332;33333;33334;33335;48645;48646;48647;48648;48649;48650;53515;53516;53517;53518;53519;53520;53521;53522;53523;53524;53525;53526;53527;53528;53529;55563;55564;55565;55566;55567;55568;55569;55570;55571;55572;56892;56893;56894;56895;56896;56897,7110;7111;7112;7113;7114;7115;7116;7117;7118;7119;8528;8529;10746;10747;10748;10749;10750;10751;10752;10753;10754;11241;11242;11243;11244;11245;13476;13477;15273;15274;15275;15276;15277;22811;22812;22813;22814;22815;24923;24924;24925;24926;24927;24928;24929;24930;25111;25112;25113;25114;25115;36976;40712;40713;40714;40715;40716;40717;40718;40719;40720;40721;42233;42234;42235;42236;42237;42238;42239;42240;42241;42242;43278;43279;43280;43281;43282;43283,7116;8529;10751;11241;13477;15274;22811;22815;24927;25112;36976;40713;40720;42235;42240;43278,,,10090
P63330;P62715,P63330;P62715,4;4,4;4,4;4,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,Ppp2ca;Ppp2cb,sp|P63330|PP2AA_MOUSE Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Mus musculus OX=10090 GN=Ppp2ca PE=1 SV=1;sp|P62715|PP2AB_MOUSE Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Mus musculus OX=10090,2,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,11.3,11.3,11.3,35.608,309,309;309,1,25,0,28.162,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,11.3,11.3,6.5,11.3,11.3,11.3,64124000,4309600,5740200,2296400,17622000,12422000,21734000,1828800,2221300,1952900,1939500,1853500,2016400,2,2,2,4,2,3,15,,,,629,5218;8764;10768;10975,True;True;True;True,5457;9212;9213;11308;11525,26870;26871;26872;26873;26874;26875;45419;45420;45421;45422;45423;45424;45425;56135;56136;56137;56138;56139;56140;57257;57258;57259;57260;57261;57262,20401;34104;34105;34106;42713;42714;42715;42716;42717;43544;43545;43546;43547;43548;43549,20401;34106;42713;43547,344,83,10090;10090
