Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides A1,Peptides A2,Peptides A3,Peptides C1,Peptides C2,Peptides C3,Razor + unique peptides A1,Razor + unique peptides A2,Razor + unique peptides A3,Razor + unique peptides C1,Razor + unique peptides C2,Razor + unique peptides C3,Unique peptides A1,Unique peptides A2,Unique peptides A3,Unique peptides C1,Unique peptides C2,Unique peptides C3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type A1,Identification type A2,Identification type A3,Identification type C1,Identification type C2,Identification type C3,Sequence coverage A1 [%],Sequence coverage A2 [%],Sequence coverage A3 [%],Sequence coverage C1 [%],Sequence coverage C2 [%],Sequence coverage C3 [%],Intensity,Intensity A1,Intensity A2,Intensity A3,Intensity C1,Intensity C2,Intensity C3,LFQ intensity A1,LFQ intensity A2,LFQ intensity A3,LFQ intensity C1,LFQ intensity C2,LFQ intensity C3,MS/MS count A1,MS/MS count A2,MS/MS count A3,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A2AH22,A2AH22,1,1,1,Activating molecule in BECN1-regulated autophagy protein 1,Ambra1,sp|A2AH22|AMRA1_MOUSE Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=Ambra1 PE=1 SV=1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1.8,1.8,1.8,142.88,1300,1300,1,3,0.0036556,6.3712,,,,By MS/MS,By matching,By MS/MS,0,0,0,1.8,1.8,1.8,5633000,0,0,0,1190300,2641300,1801400,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,10,10477,TRUE,10962,43765;43766;43767,34348,34348,,,-1
A2AHC3,A2AHC3,2,2,2,Calmodulin-regulated spectrin-associated protein 1,Camsap1,sp|A2AHC3|CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1,1,2,2,2,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,2,0,1,2,2,2,175.89,1581,1581,1,3,0,11.939,,,,By MS/MS,,By matching,0,0,0,2,0,1.3,3509800,0,0,0,1968800,0,1541000,0,0,0,0,0,0,0,0,0,2,0,0,2,,,,11,4259;10234,True;True,4424;10702,17050;17051;42647,13376;33473,13376;33473,,,-1
A2AI08,A2AI08,2,2,2,Taperin,Tprn,sp|A2AI08|TPRN_MOUSE Taperin OS=Mus musculus OX=10090 GN=Tprn PE=1 SV=1,1,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,6.4,6.4,6.4,80.088,749,749,1,3,0,15.606,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,3.7,3.7,2.7,3356700,0,0,0,1326200,1173300,857210,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,12,5400;6407,True;True,5614;6662,22130;26169;26170,17179;20338,17179;20338,,,-1
A2AN08,A2AN08,21,21,21,E3 ubiquitin-protein ligase UBR4,Ubr4,sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1,1,21,21,21,20,2,12,2,3,2,20,2,12,2,3,2,20,2,12,2,3,2,4.3,4.3,4.3,572.28,5180,5180,1,42,0,136.56,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,4.3,0.4,2.3,0.3,0.6,0.3,14092000,9427800,112860,1616200,449900,2028900,456100,756410,20384,204720,0,17701,12516,19,0,9,2,0,0,30,,,,13,613;1172;2270;2287;3096;3570;3853;4327;5838;6136;6174;6198;6433;7314;8078;8136;8371;9065;9877;9973;10968,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,637;1217;2356;2373;3206;3702;4000;4493;6068;6377;6418;6443;6688;7654;8448;8507;8745;9479;10330;10432;11473,2357;2358;4457;4458;8839;8909;8910;12197;14063;14064;14065;15304;15305;15306;17310;23880;25092;25093;25266;25267;25350;26257;26258;30269;33336;33567;33568;34542;37392;41055;41056;41057;41058;41059;41435;41436;41437;45728;45729;45730;45731;45732,1841;3496;3497;6819;6874;9480;10933;10934;11924;13568;18583;19494;19495;19614;19671;20402;23660;25910;26076;26077;26765;28884;32147;32148;32149;32441;32442;35845;35846;35847,1841;3496;6819;6874;9480;10934;11924;13568;18583;19495;19614;19671;20402;23660;25910;26076;26765;28884;32148;32441;35846,,,-1
A2APB8,A2APB8,7,7,7,Targeting protein for Xklp2,Tpx2,sp|A2APB8|TPX2_MOUSE Targeting protein for Xklp2 OS=Mus musculus OX=10090 GN=Tpx2 PE=1 SV=1,1,7,7,7,1,0,0,5,6,7,1,0,0,5,6,7,1,0,0,5,6,7,12.5,12.5,12.5,85.893,745,745,1,19,0,119.18,By matching,,,By MS/MS,By MS/MS,By MS/MS,2,0,0,7.8,12.5,12.5,18411000,52149,0,0,4865300,6430200,7063100,0,0,0,250690,180770,211700,0,0,0,3,5,3,11,,,,14,853;4063;5014;5048;5259;7503;9241,True;True;True;True;True;True;True,885;4222;5217;5252;5471;7855;9659,3241;3242;3243;16194;16195;16196;20494;20495;20496;20621;20622;20623;21500;21501;31072;31073;31074;38021;38022,2518;2519;12681;12682;12683;16002;16099;16100;16712;16713;24264;29369,2519;12683;16002;16099;16713;24264;29369,,,-1
A2AQ25,A2AQ25,3,3,3,Sickle tail protein,Skt,sp|A2AQ25|SKT_MOUSE Sickle tail protein OS=Mus musculus OX=10090 GN=Skt PE=1 SV=1,1,3,3,3,0,0,0,2,1,3,0,0,0,2,1,3,0,0,0,2,1,3,2,2,2,213.03,1946,1946,1,6,0,18.932,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,1.4,0.8,2,4693200,0,0,0,925880,1479400,2287900,0,0,0,0,0,0,0,0,0,1,1,3,5,,,,15,7575;8482;9653,True;True;True,7927;8861;10096,31331;31332;34991;34992;34993;40186,24459;24460;27072;27073;31447,24459;27072;31447,,,-1
A2AR02,A2AR02,2,2,2,Peptidyl-prolyl cis-trans isomerase G,Ppig,sp|A2AR02|PPIG_MOUSE Peptidyl-prolyl cis-trans isomerase G OS=Mus musculus OX=10090 GN=Ppig PE=1 SV=1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2.4,2.4,2.4,88.324,752,752,1,8,0,12.096,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,1.6,2.4,1.6,2.4,1.6,2.4,8392400,1157200,1153600,1241700,686340,1606700,2547000,0,1468900,0,0,0,224550,1,2,1,0,0,0,4,,,,16,1712;9461,True;True,1775;9890,6620;6621;6622;39188;39189;39190;39191;39192,5159;30612;30613;30614,5159;30614,,,-1
A2AWA9,A2AWA9,1,1,1,Rab GTPase-activating protein 1,Rabgap1,sp|A2AWA9|RBGP1_MOUSE Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1.4,1.4,1.4,120.8,1064,1064,1,5,0,36.571,By MS/MS,,By MS/MS,By MS/MS,By matching,By MS/MS,1.4,0,1.4,1.4,1.4,1.4,2940700,368430,0,73868,1007800,983380,507210,0,0,0,0,0,0,1,0,0,1,0,1,3,,,,17,3431,TRUE,3555,13483;13484;13485;13486;13487,10464;10465;10466,10466,,,-1
A2BH40,A2BH40,6,6,6,AT-rich interactive domain-containing protein 1A,Arid1a,sp|A2BH40|ARI1A_MOUSE AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1,1,6,6,6,3,2,2,4,5,4,3,2,2,4,5,4,3,2,2,4,5,4,5.6,5.6,5.6,242.09,2283,2283,1,20,0,35.851,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.6,1.3,0.9,3.1,3.4,4.5,6879400,836740,114530,90180,1836700,2505100,1496100,192880,0,93349,98399,82377,0,2,0,1,1,2,0,6,,,,18,3;172;563;4124;5911;8846,True;True;True;True;True;True,3;176;585;4284;6146;9244,11;628;629;630;2140;2141;2142;2143;2144;2145;16459;16460;16461;16462;24207;24208;24209;36501;36502;36503,11;499;1675;12908;18824;18825;18826;28212,11;499;1675;12908;18825;28212,2,364,-1
A3KGV1,A3KGV1,2,2,2,Outer dense fiber protein 2,Odf2,sp|A3KGV1|ODFP2_MOUSE Outer dense fiber protein 2 OS=Mus musculus OX=10090 GN=Odf2 PE=1 SV=1,1,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,3.9,3.9,3.9,95.54,830,830,1,3,0.0009828,11.26,,,,By matching,By MS/MS,By MS/MS,0,0,0,2.7,1.2,2.7,3140900,0,0,0,1130000,0,2010900,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,19,4304;4809,True;True,4470;5005,17211;19578;19579,13487;15318,13487;15318,,,-1
B1AXD8;Q99LF1,B1AXD8,6;1,6;1,6;1,Akirin-2,Akirin2,sp|B1AXD8|AKIR2_MOUSE Akirin-2 OS=Mus musculus OX=10090 GN=Akirin2 PE=1 SV=1,2,6,6,6,0,0,0,5,5,5,0,0,0,5,5,5,0,0,0,5,5,5,32.3,32.3,32.3,22.113,201,201;191,1,15,0,63.954,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,28.4,26.4,28.4,62830000,0,0,0,20672000,22955000,19204000,0,0,0,469340,429940,584910,0,0,0,4,4,5,13,,,,20,2053;2729;6737;6916;9710;10760,True;True;True;True;True;True,2128;2828;7001;7197;10154;11262,7976;7977;7978;10660;27546;27547;27548;28255;28256;40395;40396;40397;44907;44908;44909,6156;6157;6158;8267;21327;21328;21329;21847;21848;31612;35202;35203;35204,6157;8267;21328;21847;31612;35204,3,62,-1;-1
B1AZ99,B1AZ99,1,1,1,OTU domain-containing protein 3,Otud3,sp|B1AZ99|OTUD3_MOUSE OTU domain-containing protein 3 OS=Mus musculus OX=10090 GN=Otud3 PE=1 SV=1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4.8,4.8,4.8,44.576,396,396,1,1,0.0014465,10.8,,,,,By MS/MS,,0,0,0,0,4.8,0,792210,0,0,0,0,792210,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,21,7179,TRUE,7514,29710,23225,23225,,,-1
B1AZP2,B1AZP2,1,1,1,Disks large-associated protein 4,Dlgap4,sp|B1AZP2|DLGP4_MOUSE Disks large-associated protein 4 OS=Mus musculus OX=10090 GN=Dlgap4 PE=1 SV=1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1.1,1.1,1.1,108.04,992,992,1,3,0,16.715,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,1.1,1.1,1.1,3303600,0,0,0,1284800,1089300,929470,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,22,1994,TRUE,2069,7763;7764;7765,5999;6000;6001,5999,,,-1
B2RQC6,B2RQC6,25,25,25,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,sp|B2RQC6|PYR1_MOUSE CAD protein OS=Mus musculus OX=10090 GN=Cad PE=1 SV=1,1,25,25,25,24,10,14,15,20,10,24,10,14,15,20,10,24,10,14,15,20,10,14.7,14.7,14.7,243.24,2225,2225,1,94,0,256.22,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,14.2,5.3,8.4,8.6,12.6,6,98936000,29672000,1790600,5780500,17598000,35374000,8720900,1343400,382830,860380,238640,286020,171420,21,5,10,9,15,4,64,,,,23,798;1269;1413;1927;3042;3268;3365;4688;4808;5132;5388;5445;5822;6066;6365;6636;6830;6850;8469;9362;10280;10535;10536;10626;10698,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,828;1316;1463;1998;3151;3385;3487;4879;5004;5338;5602;5659;6049;6306;6620;6898;7096;7118;8848;9782;10751;11021;11022;11121;11198,3045;3046;3047;3048;4839;4840;4841;5373;5374;5375;5376;5377;5378;7503;11975;11976;11977;11978;11979;12871;12872;12873;13230;13231;13232;13233;13234;19049;19050;19051;19052;19053;19054;19576;19577;20973;20974;20975;20976;22082;22083;22084;22288;22289;23792;23793;23794;23795;23796;23797;24812;24813;26010;26011;26012;26013;26014;27144;27145;27909;27910;27911;27912;27913;27993;27994;34943;34944;34945;38784;42847;44004;44005;44006;44007;44008;44009;44010;44011;44012;44013;44014;44015;44368;44369;44370;44371;44372;44373;44694;44695;44696;44697;44698,2362;3777;4201;4202;4203;4204;5815;9324;9325;9326;9999;10275;10276;14929;14930;14931;14932;14933;14934;15317;16342;17145;17146;17299;17300;18508;18509;18510;18511;18512;19278;19279;20204;20205;20206;20207;21036;21037;21592;21593;21594;21653;27039;27040;27041;27042;27043;27044;30278;33638;34519;34520;34521;34522;34523;34524;34525;34802;34803;34804;34805;35047;35048;35049;35050;35051,2362;3777;4203;5815;9324;9999;10276;14932;15317;16342;17145;17299;18509;19279;20205;21036;21592;21653;27043;30278;33638;34519;34522;34804;35049,4;5;6,2179;2182;2185,-1
B2RRE7,B2RRE7,1,1,1,OTU domain-containing protein 4,Otud4,sp|B2RRE7|OTUD4_MOUSE OTU domain-containing protein 4 OS=Mus musculus OX=10090 GN=Otud4 PE=1 SV=1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0.7,0.7,0.7,123.05,1107,1107,1,2,0.0051424,6.1949,,,,By MS/MS,By MS/MS,,0,0,0,0.7,0.7,0,474170,0,0,0,213880,260290,0,0,0,0,0,0,0,0,0,0,1,1,0,2,,,,24,2378,TRUE,2468,9274;9275,7182;7183,7182,,,-1
B2RW38,B2RW38,1,1,1,Cilia- and flagella-associated protein 58,Cfap58,sp|B2RW38|CFA58_MOUSE Cilia- and flagella-associated protein 58 OS=Mus musculus OX=10090 GN=Cfap58 PE=2 SV=1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.5,1.5,1.5,103.52,873,873,1,1,1,-2,,,,,By MS/MS,,0,0,0,0,1.5,0,2038200,0,0,0,0,2038200,0,0,0,0,0,0,0,0,0,0,0,1,0,1,+,,,25,10614,TRUE,11106,44320,34769,34769,7,10,-1
B2RX14,B2RX14,1,1,1,Terminal uridylyltransferase 4,Zcchc11,sp|B2RX14|TUT4_MOUSE Terminal uridylyltransferase 4 OS=Mus musculus OX=10090 GN=Tut4 PE=1 SV=2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0.5,184.65,1644,1644,1,1,1,-2,By MS/MS,,,,,,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,+,,,26,6906,TRUE,7187,28229,21826,21826,8,1,-1
B2RY56,B2RY56,4,4,4,RNA-binding protein 25,Rbm25,sp|B2RY56|RBM25_MOUSE RNA-binding protein 25 OS=Mus musculus OX=10090 GN=Rbm25 PE=1 SV=2,1,4,4,4,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,7.5,7.5,7.5,99.551,838,838,1,15,0,25.258,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,2.7,2.7,2.7,6,6,5.7,13201000,455300,180850,167920,4872400,5482300,2042700,238120,271470,197630,221270,205800,145830,0,0,0,1,2,3,6,,,,27,1281;4478;6035;6115,True;True;True;True,1328;4660;6275;6356,4886;4887;4888;4889;18144;18145;18146;24712;24713;24995;24996;24997;24998;24999;25000,3810;14248;19192;19422;19423;19424,3810;14248;19192;19423,9,762,-1
B7ZNG0,B7ZNG0,1,1,1,Kinesin-like protein KIF7,Kif7,sp|B7ZNG0|KIF7_MOUSE Kinesin-like protein KIF7 OS=Mus musculus OX=10090 GN=Kif7 PE=1 SV=1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,151.62,1348,1348,1,2,0,42.625,,,,By MS/MS,By MS/MS,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,,,,28,1670,TRUE,1732,6442;6443,5019;5020,5020,,,-1
B7ZNG4,B7ZNG4,6,6,6,Tastin,Troap,sp|B7ZNG4|TROAP_MOUSE Tastin OS=Mus musculus OX=10090 GN=Troap PE=2 SV=1,1,6,6,6,0,0,0,6,4,6,0,0,0,6,4,6,0,0,0,6,4,6,15.1,15.1,15.1,71.958,668,668,1,16,0,50.807,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,15.1,10.2,15.1,29928000,0,0,0,12095000,10489000,7344500,0,0,0,439160,378500,432030,0,0,0,8,4,5,17,,,,29,4479;4483;5587;7999;9880;10737,True;True;True;True;True;True,4661;4665;5808;8367;10333;11239,18147;18148;18159;18160;18161;22862;22863;33024;33025;33026;41070;41071;41072;44841;44842;44843,14249;14258;14259;17750;17751;17752;25680;25681;25682;32158;32159;32160;32161;32162;35150;35151;35152,14249;14258;17751;25682;32158;35152,,,-1
