proteinID,LFQ.intensity.PD1,LFQ.intensity.PD2,LFQ.intensity.PD3,LFQ.intensity.PD4,LFQ.intensity.PE1,LFQ.intensity.PE2,LFQ.intensity.PE3,LFQ.intensity.PE4,impute_LFQ.intensity.PD1,impute_LFQ.intensity.PD2,impute_LFQ.intensity.PD3,impute_LFQ.intensity.PD4,impute_LFQ.intensity.PE1,impute_LFQ.intensity.PE2,impute_LFQ.intensity.PE3,impute_LFQ.intensity.PE4,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
O14974,NA,NA,NA,18.66021182355356,20.246439077861005,19.739154304123794,20.013998669270123,19.368966779115325,17.63022083847653,18.297286952297757,17.517003036050944,18.66021182355356,20.246439077861005,19.739154304123794,20.013998669270123,19.368966779115325,0.0015472691326671435,2.810434138358599,1.8159590449978644,5.4773306999274585,0.0015472691326671435,7,PPP1R12A
O15027,NA,NA,NA,NA,22.01474789127076,22.433848245501753,22.200541851672643,22.575032292669924,18.136019945034715,17.764906902761,17.989370019797143,18.026361192900367,22.01474789127076,22.433848245501753,22.200541851672643,22.575032292669924,9.983949604489277e-8,7.000697619823857,4.326878055155465,29.536874247713246,9.983949604489277e-8,28,SEC16A
O15347,NA,NA,NA,19.6150404621794,20.789071903579636,20.86415893423269,20.483552079742555,20.376341634846625,18.12372215595373,17.714787189256835,18.598900518367042,19.6150404621794,20.789071903579636,20.86415893423269,20.483552079742555,20.376341634846625,0.0025354364748854307,2.5959472661858505,2.115168556661125,4.966606621127795,0.0025354364748854307,3,HMGB3
O43395,NA,NA,NA,NA,21.042733458403063,20.89881097011228,20.77715897817203,20.694215036362326,17.69925782909932,17.370265173975135,17.749699096625527,17.675467184794506,21.042733458403063,20.89881097011228,20.77715897817203,20.694215036362326,1.3201527942004392e-7,6.879375800735167,3.229557289638805,28.18491700673191,1.3201527942004392e-7,3,PRPF3
O43396,22.105623379981267,21.935674402154106,22.049130638581154,21.98168712246585,22.99998142575414,22.2315165233842,22.44417472982907,22.73632430033382,22.105623379981267,21.935674402154106,22.049130638581154,21.98168712246585,22.99998142575414,22.2315165233842,22.44417472982907,22.73632430033382,0.014506461557263687,1.8384385085519408,0.5849703590297111,3.3994100866315224,0.014506461557263687,7,TXNL1
O43504,NA,NA,NA,NA,22.035368312481843,21.552389545265697,21.768219869523993,21.148116558631123,18.881460870820764,18.350817559104954,18.4485367798836,18.182862074779496,22.035368312481843,21.552389545265697,21.768219869523993,21.148116558631123,1.1684040796063876e-5,4.932406935310736,3.160104250328459,13.198197554123434,1.1684040796063876e-5,3,LAMTOR5
O43516,NA,NA,NA,NA,21.523295851923752,21.038251892903947,20.788673732009507,20.59659743696121,18.83847157728705,17.667703977018007,17.755636953962306,18.712251278055007,21.523295851923752,21.038251892903947,20.788673732009507,20.59659743696121,3.005629036371374e-4,3.5220646223514627,2.7431887818690086,7.453928696497964,3.005629036371374e-4,1,WIPF1
O43566,NA,NA,NA,NA,20.983706192659348,20.742628517064254,21.17712507839538,21.923575578196317,17.6601477965258,17.884064594429972,17.790406124508305,17.827184696968658,20.983706192659348,20.742628517064254,21.17712507839538,21.923575578196317,1.1809208816574385e-5,4.927779197907737,3.4163080384706426,13.174074840198552,1.1809208816574385e-5,9,RGS14
O43583,19.583123178151137,19.005991798500062,NA,19.04142387324069,20.952621821378248,20.50494309577012,20.43715467212602,19.998243332048634,19.583123178151137,19.005991798500062,17.847832788806897,19.04142387324069,20.952621821378248,20.50494309577012,20.43715467212602,19.998243332048634,0.008252061235494575,2.0834375579481934,1.6036478206560574,3.871443747389223,0.008252061235494575,7,DENR
O43665,20.315176102958027,NA,NA,NA,21.660664477461278,21.94410148786023,20.996934077509522,20.16925464844434,20.315176102958027,18.238424101095593,17.899242851514472,17.733254784728064,21.660664477461278,21.94410148786023,20.996934077509522,20.16925464844434,0.010214052037703581,1.990801933867404,2.646214212744802,3.6895609475126245,0.010214052037703581,1,RGS10
O43670,20.638739931745558,NA,NA,NA,21.86876228049449,21.57906728994072,22.09155289597475,21.97081226559539,20.638739931745558,18.667174815781834,17.880428579887855,17.89811848440767,21.86876228049449,21.57906728994072,22.09155289597475,21.97081226559539,0.003258185820638322,2.487024150667,3.1064332300456066,4.719947699255676,0.003258185820638322,5,ZNF207
O43681,NA,20.793444553291252,NA,20.457637380991763,21.22852514357626,21.520325173606267,21.436900600477003,22.303657019858832,17.951654648979037,20.793444553291252,17.96980285416024,20.457637380991763,21.22852514357626,21.520325173606267,21.436900600477003,22.303657019858832,0.027874995688333657,1.5547851911198562,2.3292171250240195,2.8850002793622425,0.027874995688333657,8,GET3
O43765,19.59238768649337,20.199883182499402,NA,20.157707129893517,20.89378441059892,21.733720418073165,21.499600674095454,20.917214719041425,19.59238768649337,20.199883182499402,17.64450795062871,20.157707129893517,20.89378441059892,21.733720418073165,21.499600674095454,20.917214719041425,0.026467882694398124,1.5772807988164308,1.8624585680734889,2.9247299532416493,0.026467882694398124,4,SGTA
O43809,22.772797009112413,22.21889310031745,22.843854361650173,22.57936658277157,24.637546471006697,23.731691922150702,24.070546822644058,23.71492044899822,22.772797009112413,22.21889310031745,22.843854361650173,22.57936658277157,24.637546471006697,23.731691922150702,24.070546822644058,23.71492044899822,0.0014069331832903208,2.8517265271689163,1.4349486527370168,5.579703823893274,0.0014069331832903208,1,NUDT21
O60231,NA,NA,NA,NA,NA,19.63934070865223,19.347867874804052,19.34758676783086,18.019198489842193,17.691363652388837,18.257268140580106,17.22187742513742,18.00746230722519,19.63934070865223,19.347867874804052,19.34758676783086,0.023948912328913764,1.6207142058518127,1.2881374876409453,3.0019159638849926,0.023948912328913764,12,DHX16
O60232,NA,NA,NA,NA,20.176942531942338,20.354985386078255,20.771769929018983,NA,18.143652761628577,17.21275754803839,17.836789970993408,17.72197981561207,20.176942531942338,20.354985386078255,20.771769929018983,18.508412713896334,0.005898631230481408,2.2292487541229646,2.224232616165864,4.166935952321393,0.005898631230481408,8,ZNRD2
O60506,22.424242165468176,22.79879293663298,22.59315857014795,22.344241719133684,23.281499942684288,23.54722027411647,23.26527852367145,23.316447273034345,22.424242165468176,22.79879293663298,22.59315857014795,22.344241719133684,23.281499942684288,23.54722027411647,23.26527852367145,23.316447273034345,5.116407169836236e-4,3.2910349011408715,0.8125026555309418,6.759421845527949,5.116407169836236e-4,4,SYNCRIP
O60613,NA,NA,NA,NA,21.384005862911273,20.886509304413266,20.878598790370447,20.9145165244817,17.754684509635933,17.425165290799406,17.609576279934235,19.043030510342806,21.384005862911273,20.886509304413266,20.878598790370447,20.9145165244817,2.206904922451387e-4,3.656216376645397,3.057793472866077,7.883559554089776,2.206904922451387e-4,8,SELENOF
O60739,NA,NA,NA,NA,20.98419313136964,20.122878536769903,20.04926361199393,NA,17.99759816376834,17.33910687452955,17.16014894876248,18.216199270052886,20.98419313136964,20.122878536769903,20.04926361199393,17.563917246173197,0.042391561349673736,1.3727205873699724,2.0017998172983518,2.569007795790393,0.042391561349673736,2,EIF1B
O60783,NA,19.695082127467796,NA,NA,21.954433471611644,22.118195896007094,21.907602198946336,21.402651954177937,17.51939490864296,19.695082127467796,17.23750193946136,17.445736730759897,21.954433471611644,22.118195896007094,21.907602198946336,21.402651954177937,6.3911892272099e-4,3.1944183238821284,3.87129195360275,6.484900131374598,6.3911892272099e-4,2,MRPS14
O60826,NA,NA,NA,NA,19.066525457307964,19.09607168595299,19.320011623733954,19.43656515737316,18.493921936858616,17.675012589809526,17.289543696061585,18.93298232346187,19.066525457307964,19.09607168595299,19.320011623733954,19.43656515737316,0.02603438003216396,1.5844527599055538,1.131928344544118,2.9374313883062864,0.02603438003216396,6,CCDC22
O60828,NA,18.974913074201343,NA,19.173921077908116,20.54141806935851,19.429431261367267,19.589391471976576,19.399161078037125,18.203528074266806,18.974913074201343,17.8682720925241,19.173921077908116,20.54141806935851,19.429431261367267,19.589391471976576,19.399161078037125,0.02809875218624687,1.551312965883534,1.1846918904597779,2.878882566976752,0.02809875218624687,1,PQBP1
O60888,NA,NA,NA,NA,22.368423332950673,21.38463832339306,22.037648829549305,21.434662838481515,18.436539960458802,17.676034724941143,19.103104528796862,17.859998661085402,22.368423332950673,21.38463832339306,22.037648829549305,21.434662838481515,1.175822144096787e-4,3.9296583650616483,3.5374238622730836,8.824946801001701,1.175822144096787e-4,2,CUTA
O75347,21.236254826612054,20.76506590618401,21.678397259598576,21.701086439603692,23.96763225806787,23.072919609578232,23.421881969626288,23.068088101874736,21.236254826612054,20.76506590618401,21.678397259598576,21.701086439603692,23.96763225806787,23.072919609578232,23.421881969626288,23.068088101874736,5.563311033228622e-4,3.25466665887298,2.0374293767871983,6.655027910644644,5.563311033228622e-4,1,TBCA
O75380,19.781983969278446,NA,NA,19.177331936456564,22.77080259700025,22.120792209521436,22.58037911342738,21.6559132454472,19.781983969278446,18.09363842937503,19.154561622888295,19.177331936456564,22.77080259700025,22.120792209521436,22.58037911342738,21.6559132454472,2.8973393272065616e-4,3.5380006386231626,3.23009280184948,7.503915393384531,2.8973393272065616e-4,6,NDUFS6
O75391,NA,NA,NA,NA,22.009768489245545,21.436138116953686,21.71301221902764,21.069203241207546,18.04225203008085,18.219639832370806,17.94984209736874,17.82010932995299,22.009768489245545,21.436138116953686,21.71301221902764,21.069203241207546,3.3528072334889783e-6,5.474591415207808,3.549069694165258,16.33386647054348,3.3528072334889783e-6,2,SPAG7
O75608,NA,NA,NA,21.53160039176298,22.773783123285117,22.354528117741044,22.0635201635092,21.456033495289173,18.099894779008114,17.24771006504545,18.2519780462722,21.53160039176298,22.773783123285117,22.354528117741044,22.0635201635092,21.456033495289173,0.013802474299184108,1.8600430528625507,3.379170404433946,3.439909529094813,0.013802474299184108,6,LYPLA1
O75791,NA,NA,NA,NA,NA,20.100338952824995,19.67700384155642,20.856504557590977,17.89935726620795,18.19186612329207,17.619208872746576,18.4082296087122,18.54800156074375,20.100338952824995,19.67700384155642,20.856504557590977,0.01363707397940065,1.8652788035006078,1.7657967604393363,3.449755251540834,0.01363707397940065,1,GRAP2
O75821,NA,NA,NA,NA,23.58428450047706,23.194693140780377,23.38244988459754,23.316999606517694,17.378614318935504,17.45947931524509,18.716734238723884,17.475711548493184,23.58428450047706,23.194693140780377,23.38244988459754,23.316999606517694,2.672341067584276e-6,5.573108114191635,5.6119719277437525,16.97535039295911,2.672341067584276e-6,5,EIF3G
O75947,21.011612189229233,20.43938857536653,19.662351972531386,20.51960554119478,21.95524974661012,21.712466546554,21.39524333469263,20.770641311920052,21.011612189229233,20.43938857536653,19.662351972531386,20.51960554119478,21.95524974661012,21.712466546554,21.39524333469263,20.770641311920052,0.03233344907433942,1.4903479658475318,1.0501606653637197,2.772080728572813,0.03233344907433942,1,ATP5PD
O75995,20.272871222297184,19.31575103163328,20.50047624345157,20.72617158397293,23.878954200784843,23.883156364138927,23.69678503902868,23.52145187650281,20.272871222297184,19.31575103163328,20.50047624345157,20.72617158397293,23.878954200784843,23.883156364138927,23.69678503902868,23.52145187650281,3.3547944537205397e-5,4.474334083646875,3.5412693497750745,11.000330561940771,3.3547944537205397e-5,3,SASH3
O94804,19.75153098356,20.064605948071524,20.118829574165872,20.079526450711274,21.887067370969472,22.05241813373833,21.536161826380837,21.3321064989079,19.75153098356,20.064605948071524,20.118829574165872,20.079526450711274,21.887067370969472,22.05241813373833,21.536161826380837,21.3321064989079,9.21851224503436e-5,4.035339163101189,1.6983152183719703,9.21414037679587,9.21851224503436e-5,12,STK10
O94888,NA,19.53240919735394,NA,NA,20.040995996010327,19.830465690234686,19.91982060991404,19.3248309912876,18.84185430692473,19.53240919735394,18.79019066999652,17.821671611935507,20.040995996010327,19.830465690234686,19.91982060991404,19.3248309912876,0.03654528670805706,1.437168626604234,1.0324968753089898,2.6798125313765495,0.03654528670805706,7,UBXN7
O94903,20.35380157000722,NA,NA,20.046335361989687,21.23876391283806,21.244059493828562,21.350891714607425,21.427314890439796,20.35380157000722,16.834549122210937,19.25036978250279,20.046335361989687,21.23876391283806,21.244059493828562,21.350891714607425,21.427314890439796,0.033349396232254205,1.476912024277385,2.1939935437508,2.7486931113887287,0.033349396232254205,5,PLPBP
O95336,21.892339733637026,21.242141363921327,21.80266308332063,21.87788770676585,23.430074758512852,23.311328138772108,23.28587966952319,23.06172518271711,21.892339733637026,21.242141363921327,21.80266308332063,21.87788770676585,23.430074758512852,23.311328138772108,23.28587966952319,23.06172518271711,1.0143145280692954e-4,3.9938273540520406,1.5684939654701076,9.059497569607483,1.0143145280692954e-4,5,PGLS
O95793,NA,NA,NA,NA,21.54933721512857,21.523630867111653,21.77039935048705,21.388637480606352,18.487764549696784,18.75642835362486,17.832868184710264,17.355780474180996,21.54933721512857,21.523630867111653,21.77039935048705,21.388637480606352,4.2472597058526794e-5,4.371891182529374,3.4497908377801814,10.55756670397067,4.2472597058526794e-5,5,STAU1
O95801,NA,19.05269009567249,NA,19.64369768185643,19.95673914505908,19.923249131467298,19.699325051734167,20.494531397839463,18.31320501840162,19.05269009567249,17.966229319709864,19.64369768185643,19.95673914505908,19.923249131467298,19.699325051734167,20.494531397839463,0.02128721157980195,1.6718812232406894,1.2745056526149021,3.093692177546696,0.02128721157980195,9,TTC4
O95816,NA,NA,NA,NA,23.18064977738413,23.05592979328272,22.829583388390937,22.351970123269457,17.113370587297702,17.989888504574672,17.67044973773888,17.81658995586804,23.18064977738413,23.05592979328272,22.829583388390937,22.351970123269457,1.0836068675620914e-6,5.965128251207281,5.206958574211988,19.777852677903645,1.0836068675620914e-6,3,BAG2
O95999,NA,NA,NA,NA,22.71152162541725,22.483256838763136,22.650620550965755,22.478228475765007,17.82155835144859,17.177873827956624,18.088413264859565,18.121740592694774,22.71152162541725,22.483256838763136,22.650620550965755,22.478228475765007,7.410497382460883e-7,6.13015264179006,4.7785103634879,21.087697016368026,7.410497382460883e-7,5,BCL10
O96008,21.22881869049588,21.17212714380866,21.180224839328577,21.53240919735394,21.55463943564542,22.00884575493786,22.267851957188608,22.552061142900616,21.22881869049588,21.17212714380866,21.180224839328577,21.53240919735394,21.55463943564542,22.00884575493786,22.267851957188608,22.552061142900616,0.011660637114219451,1.93327771993458,0.8174546049213625,3.578749676367906,0.011660637114219451,6,TOMM40
P00813,NA,19.866469989848586,NA,NA,20.679600364896586,20.68705439867495,20.94806488922037,20.749928334147214,17.958645742935612,19.866469989848586,17.939222052319888,18.272079836930423,20.679600364896586,20.68705439867495,20.94806488922037,20.749928334147214,0.0027835206359977842,2.55540555464562,2.257057591226154,4.873843024485549,0.0027835206359977842,5,ADA
P00966,NA,NA,NA,19.06831119870822,19.63159983597783,NA,19.15125443072903,19.696169504983462,17.389536582465027,18.542789054899828,17.986112465886922,19.06831119870822,19.63159983597783,18.941837992443855,19.15125443072903,19.696169504983462,0.033933029273937834,1.4693773682290185,1.1085281155435425,2.7356005111947805,0.033933029273937834,5,ASS1
P02545,22.612320494718524,21.738222583556233,20.4971657451784,21.222877429153144,24.361586156051835,22.63632989341536,23.395975454853783,22.322291276528777,22.612320494718524,21.738222583556233,20.4971657451784,21.222877429153144,24.361586156051835,22.63632989341536,23.395975454853783,22.322291276528777,0.03993123668228549,1.398687239368008,1.6613991320608612,2.613525236843623,0.03993123668228549,5,LMNA
P04080,24.31962030667683,22.712361585874085,NA,23.967808132143535,29.375216657906936,28.884600946577415,28.989316664471286,28.86399003862711,24.31962030667683,22.712361585874085,18.576220080911543,23.967808132143535,29.375216657906936,28.884600946577415,28.989316664471286,28.86399003862711,0.002424873552830873,2.6153109031398962,6.634278550494191,5.011321727573588,0.002424873552830873,1,CSTB
P04406,28.63844442117245,28.287580290826952,28.810416500347703,28.29008791087465,29.74999097106525,29.05416364388902,29.23840495800499,28.725171878603582,28.63844442117245,28.287580290826952,28.810416500347703,28.29008791087465,29.74999097106525,29.05416364388902,29.23840495800499,28.725171878603582,0.03408792983551535,1.4673993727315608,0.6853005820852687,2.732166128087574,0.03408792983551535,3,GAPDH
P06748,24.808625658011845,24.28538584954887,23.708198992375223,24.021405659443793,25.892960381115252,24.88869383315495,25.2777099460441,25.293372013312847,24.808625658011845,24.28538584954887,23.708198992375223,24.021405659443793,25.892960381115252,24.88869383315495,25.2777099460441,25.293372013312847,0.01095035641582991,1.9605717450330777,1.1322800035618563,3.631129664405298,0.01095035641582991,3,NPM1
P06753,23.03384036274816,22.157707129893517,22.82873153268301,22.880487073756782,27.5979701236679,27.44718956965957,27.632147001473438,27.374594976298518,23.03384036274816,22.157707129893517,22.82873153268301,22.880487073756782,27.5979701236679,27.44718956965957,27.632147001473438,27.374594976298518,3.8711432715387963e-7,6.412160755085779,4.787783893004491,23.5249267407128,3.8711432715387963e-7,1,TPM3
P07355,23.810588108210233,23.91067932433996,22.85832710131064,23.370526717221722,25.132614255569234,24.30040674707505,24.350635474046832,24.020727701235412,23.810588108210233,23.91067932433996,22.85832710131064,23.370526717221722,25.132614255569234,24.30040674707505,24.350635474046832,24.020727701235412,0.02933305327602249,1.5326427289760391,0.9635657317109931,2.84605317778677,0.02933305327602249,4,ANXA2
P07737,27.680298135824916,27.346972331394504,27.968566343591526,27.3219095206415,30.520002133039934,29.414658786774975,29.841896495623175,28.67013376618571,27.680298135824916,27.346972331394504,27.968566343591526,27.3219095206415,30.520002133039934,29.414658786774975,29.841896495623175,28.67013376618571,0.0027801743180397775,2.555927972790793,2.0322362125428377,4.8750310735097075,0.0027801743180397775,3,PFN1
P07741,22.076430712239908,22.098990729606093,22.58396327953085,21.963598863331505,24.43039384705968,23.3136824292581,23.600028126239554,23.047251078739116,22.076430712239908,22.098990729606093,22.58396327953085,21.963598863331505,24.43039384705968,23.3136824292581,23.600028126239554,23.047251078739116,0.005102516191676908,2.292215608474748,1.417092974147021,4.298257104176561,0.005102516191676908,3,APRT
P08559,21.09435866128158,21.663577213462645,21.85965458944718,21.431758749166157,22.123478587253622,22.469585182653343,22.191774927334702,22.00624525561867,21.09435866128158,21.663577213462645,21.85965458944718,21.431758749166157,22.123478587253622,22.469585182653343,22.191774927334702,22.00624525561867,0.011696197294734381,1.931955314523375,0.6854336848756937,3.5762207751879185,0.011696197294734381,12,PDHA1
P08621,NA,19.99327565411577,NA,19.9767319209274,20.834915404306383,21.088353476878535,21.03153698647906,20.255111578474065,17.775568393325546,19.99327565411577,17.388195727054658,19.9767319209274,20.834915404306383,21.088353476878535,21.03153698647906,20.255111578474065,0.03158356667401754,1.5005388274822795,2.0190364376786647,2.7898550011668077,0.03158356667401754,1,SNRNP70
P08670,23.717328343751184,23.4655056243251,20.267166156966113,24.277603540833972,26.000540268315067,25.328755448267383,25.58339523174547,24.98767516653923,23.717328343751184,23.4655056243251,20.267166156966113,24.277603540833972,26.000540268315067,25.328755448267383,25.58339523174547,24.98767516653923,0.03386694070979402,1.4702240325511964,2.5431906122476953,2.737070909679735,0.03386694070979402,1,VIM
P08708,21.59677940013745,NA,NA,NA,23.544746577175765,22.871848099375864,22.564604466609545,22.126128455346787,21.59677940013745,17.82160838496976,17.51410798175373,17.858025983160974,23.544746577175765,22.871848099375864,22.564604466609545,22.126128455346787,0.006945050880952045,2.158324568178956,4.07920146212151,4.021746169288957,0.006945050880952045,1,RPS17
P09382,23.9538475983875,23.158184988958457,21.451915380843577,23.45976478873252,26.610626354817466,24.888926035283355,25.716151071254924,24.878720387997127,23.9538475983875,23.158184988958457,21.451915380843577,23.45976478873252,26.610626354817466,24.888926035283355,25.716151071254924,24.878720387997127,0.010183462904158459,1.992104514294637,2.517677773107703,3.692088661483329,0.010183462904158459,6,LGALS1
P09429,23.303127431936137,22.335408892494243,22.30797009591777,22.483601280698853,23.703665361519867,23.455883039546325,23.727958666655187,23.233039156814076,23.303127431936137,22.335408892494243,22.30797009591777,22.483601280698853,23.703665361519867,23.455883039546325,23.727958666655187,23.233039156814076,0.01257169407626377,1.9006061957905582,0.9226096308721132,3.5165082024417793,0.01257169407626377,3,HMGB1
P09496,20.402183521344917,19.95176849226767,19.080801916644354,19.61493266026589,22.27863888481243,22.185164594638533,21.954113933893176,21.502225789629463,20.402183521344917,19.95176849226767,19.080801916644354,19.61493266026589,22.27863888481243,22.185164594638533,21.954113933893176,21.502225789629463,5.117515539489808e-4,3.290940829915202,2.2176141531126916,6.759150143990277,5.117515539489808e-4,2,CLTA
P09661,20.330903751826245,20.04366814910041,20.068678577126526,19.81737718180169,20.960279155278315,21.667740462930222,21.339900008627772,21.128490303144503,20.330903751826245,20.04366814910041,20.068678577126526,19.81737718180169,20.960279155278315,21.667740462930222,21.339900008627772,21.128490303144503,6.164698138733427e-4,3.210088184257539,1.2089455675314866,6.528814761026262,6.164698138733427e-4,2,SNRPA1
P10599,25.166338109354808,23.449600061926343,23.522170588759895,23.809018361666094,28.254533228801385,26.569961038895176,27.696639138757345,26.706223869937094,25.166338109354808,23.449600061926343,23.522170588759895,23.809018361666094,28.254533228801385,26.569961038895176,27.696639138757345,26.706223869937094,0.0011130812893999993,2.953473117562237,3.320057538670966,5.837871282555975,0.0011130812893999993,5,TXN
P10644,NA,NA,NA,21.472934720768414,23.447583716327838,23.339872831808474,22.987805254308444,23.35890655825162,17.651317585891693,18.466220545154563,18.207872792203723,21.472934720768414,23.447583716327838,23.339872831808474,22.987805254308444,23.35890655825162,0.002414496054300154,2.617173499974577,4.333955679169495,5.015636988099818,0.002414496054300154,4,PRKAR1A
P11216,NA,NA,NA,NA,18.765907637488617,19.027587478535132,19.078718940533605,19.602970649424293,17.26841529388132,18.88708865599488,18.056720643754876,18.37551245607354,18.765907637488617,19.027587478535132,19.078718940533605,19.602970649424293,0.04374113299391708,1.3591099719469066,0.9718619140692581,2.545738608683189,0.04374113299391708,12,PYGB
P11441,NA,NA,NA,NA,21.791856031834914,20.27366813415696,20.397386352555888,20.200242493872533,18.47124711768886,17.963271194275855,17.834345665055704,18.44020243499642,21.791856031834914,20.27366813415696,20.397386352555888,20.200242493872533,9.224869910837942e-4,3.035039749548696,2.4885216501008642,6.05113270375718,9.224869910837942e-4,1,UBL4A
P13674,NA,20.947137500975142,NA,20.177672579208092,22.355039172825986,23.40730200029057,22.5313148226724,22.18356027145588,17.471316703822275,20.947137500975142,18.151960899708882,20.177672579208092,22.355039172825986,23.40730200029057,22.5313148226724,22.18356027145588,0.007391826377746838,2.1312482425552695,3.4322821458826134,3.9670544050165404,0.007391826377746838,5,P4HA1
